Jim Clark,1,,1,1,1,1,1,10,Ret,Ret
Graham Hill,3,1,5,5,2,4,2,2,1,Ret
Jackie Stewart,6,3,2,2,5,2,Ret,1,Ret,Ret
Dan Gurney,Ret,,10,Ret,6,3,3,3,2,2
John Surtees,2,4,Ret,3,3,7,Ret,Ret,,
Lorenzo Bandini,15,2,9,8,Ret,9,6,4,4,8
Richie Ginther,,Ret,6,Ret,Ret,6,,14,7,1
Mike Spence,4,,7,7,4,8,Ret,11,Ret,3
Bruce McLaren,5,5,3,Ret,10,Ret,Ret,5,Ret,Ret
Jack Brabham,8,Ret,4,,DNS,,5,,3,Ret
Denny Hulme,,8,,4,Ret,5,Ret,Ret,,
Jo Siffert,7,6,8,6,9,13,Ret,Ret,11,4
Jochen Rindt,Ret,DNQ,11,Ret,14,Ret,4,8,6,Ret
Pedro Rodríguez,,,,,,,,,5,7
Ronnie Bucknum,,Ret,Ret,Ret,,,,Ret,13,5
Richard Attwood,,Ret,14,,13,12,Ret,6,10,6
Jo Bonnier,Ret,7,Ret,Ret,7,Ret,7,7,8,Ret
Frank Gardner,12,Ret,Ret,,8,11,Ret,Ret,,
Masten Gregory,,,Ret,,12,,8,Ret,,
Bob Anderson,NC,9,,9,Ret,Ret,,,,
Innes Ireland,,,13,Ret,Ret,10,,9,Ret,DNS
Paul Hawkins,9,10,,,,,Ret,,,
Bob Bondurant,,,,,,,,,9,Ret
Peter de Klerk,10,,,,,,,,,
Ian Raby,,,,,11,,DNQ,,,
Tony Maggs,11,,,,,,,,,
Moisés Solana,,,,,,,,,12,Ret
Lucien Bianchi,,,12,,,,,,,
Nino Vaccarella,,,,,,,,12,,
Roberto Bussinello,,,,,,,DNQ,13,,
Sam Tingle,13,,,,,,,,,
David Prophet,14,,,,,,,,,
Chris Amon,,,,Ret,,,Ret,,,
Gerhard Mitter,,,,,,,Ret,,,
Mike Hailwood,,Ret,,,,,,,,
John Rhodes,,,,,Ret,,,,,
"Giacomo ""Geki"" Russo",,,,,,,,Ret,,
John Love,Ret,,,,,,,,,
Ludovico Scarfiotti,,,,,,,,,,DNS
Trevor Blokdyk,DNQ,,,,,,,,,
Neville Lederle,DNQ,,,,,,,,,
Alan Rollinson,,,,,DNQ,,,,,
Giancarlo Baghetti,,,,,,,,Ret,,
Doug Serrurier,DNQ,,,,,,,,,
Brian Gubby,,,,,DNQ,,,,,
Giorgio Bassi,,,,,,,,Ret,,
Brausch Niemann,DNQ,,,,,,,,,
Ernie Pieterse,DNQ,,,,,,,,,
Clive Puzey,DNPQ,,,,,,,,,
Jackie Pretorius,DNPQ,,,,,,,,,
Dave Charlton,DNPQ,,,,,,,,,
Ray Reed,WD,,,,,,,,,
David Clapham,WD,,,,,,,,,
Alex Blignaut,WD,,,,,,,,,
