Lewis Hamilton,2,3,4,1,1,3,5,1,Ret,2,1,1,2,1,1,1,1,3,4,1,1
Sebastian Vettel,1,1,8,4,4,2,1,5,3,1,Ret,2,1,4,3,3,6,4,2,6,2
Kimi Räikkönen,3,Ret,3,2,Ret,4,6,3,2,3,3,3,Ret,2,5,4,5,1,3,3,Ret
Max Verstappen,6,Ret,5,Ret,3,9,3,2,1,15,4,Ret,3,5,2,5,3,2,1,2,3
Valtteri Bottas,8,2,2,14,2,5,2,7,Ret,4,2,5,4,3,4,2,2,5,5,5,5
Daniel Ricciardo,4,Ret,1,Ret,5,1,4,4,Ret,5,Ret,4,Ret,Ret,6,6,4,Ret,Ret,4,4
Nico Hülkenberg,7,6,6,Ret,Ret,8,7,9,Ret,6,5,12,Ret,13,10,12,Ret,6,6,Ret,Ret
Sergio Pérez,11,12,12,3,9,12,14,Ret,7,10,7,14,5,7,17,10,7,8,Ret,10,8
Kevin Magnussen,Ret,5,10,13,6,13,13,6,5,9,11,7,8,16,18,8,Ret,DSQ,15,9,10
Carlos Sainz Jr.,10,11,9,5,7,10,8,8,12,Ret,12,9,11,8,8,16,10,7,Ret,12,6
Fernando Alonso,5,7,7,7,8,Ret,Ret,16,8,8,16,8,Ret,Ret,7,14,14,Ret,Ret,17,11
Esteban Ocon,12,10,11,Ret,Ret,6,9,Ret,6,7,8,13,6,6,Ret,9,9,DSQ,11,15,Ret
Charles Leclerc,13,14,19,6,10,Ret,10,10,9,Ret,15,Ret,Ret,11,9,7,Ret,Ret,7,7,7
Romain Grosjean,Ret,15,17,Ret,Ret,15,12,11,4,Ret,6,10,7,DSQ,15,11,8,Ret,16,8,9
Pierre Gasly,Ret,4,18,12,Ret,7,11,Ret,11,11,14,6,9,14,13,Ret,11,12,10,13,Ret
Stoffel Vandoorne,9,8,13,9,Ret,14,16,12,15,12,13,Ret,15,12,12,17,15,11,8,14,14
Marcus Ericsson,Ret,9,16,11,13,11,15,13,10,Ret,9,15,10,15,11,13,12,10,9,Ret,Ret
Lance Stroll,14,16,14,8,11,17,Ret,17,14,13,Ret,17,13,9,14,15,17,14,12,18,13
Brendon Hartley,15,13,Ret,10,12,Ret,Ret,14,Ret,Ret,10,11,14,Ret,16,Ret,13,9,14,11,12
Sergey Sirotkin,Ret,17,15,Ret,14,16,17,15,13,14,Ret,16,12,10,19,18,16,13,13,16,15
