Jackie Stewart,1,1,Ret,1,1,1,2,1,Ret,Ret,4
Jacky Ickx,Ret,6,Ret,5,3,2,1,10,1,Ret,2
Bruce McLaren,5,2,5,Ret,4,3,3,4,5,Ret,DNS
Jochen Rindt,Ret,Ret,,Ret,Ret,4,Ret,2,3,1,Ret
Jean-Pierre Beltoise,6,3,Ret,8,2,9,12,3,4,Ret,5
Denny Hulme,3,4,6,4,8,Ret,Ret,7,Ret,Ret,1
Graham Hill,2,Ret,1,7,6,7,4,9,Ret,Ret,
Piers Courage,,Ret,2,Ret,Ret,5,Ret,5,Ret,2,10
Jo Siffert,4,Ret,3,2,9,8,11,8,Ret,Ret,Ret
Jack Brabham,Ret,Ret,Ret,6,,,,Ret,2,4,3
John Surtees,Ret,5,Ret,9,,Ret,DNS,NC,Ret,3,Ret
Chris Amon,Ret,Ret,Ret,3,Ret,Ret,,,,,
Richard Attwood,,,4,,,,6,,,,
Vic Elford,,,7,10,5,6,Ret,,,,
Pedro Rodríguez,Ret,Ret,Ret,,,Ret,,6,,5,7
Silvio Moser,,,Ret,Ret,7,,,Ret,Ret,6,11
Jackie Oliver,7,Ret,Ret,Ret,,Ret,Ret,Ret,Ret,Ret,6
Johnny Servoz-Gavin,,,,,,,Ret,,6,NC,8
Henri Pescarolo,,,,,,,5,,,,
Pete Lovely,,,,,,,,,7,Ret,9
Kurt Ahrens,,,,,,,7,,,,
Sam Tingle,8,,,,,,,,,,
Rolf Stommelen,,,,,,,8,,,,
Peter Westbury,,,,,,,9,,,,
John Miles,,,,,Ret,10,,Ret,Ret,,Ret
Xavier Perrot,,,,,,,10,,,,
Bill Brack,,,,,,,,,NC,,
Peter de Klerk,NC,,,,,,,,,,
George Eaton,,,,,,,,,,Ret,Ret
Al Pease,,,,,,,,,DSQ,,
Mario Andretti,Ret,,,,,,Ret,,,Ret,
Jo Bonnier,,,,,,Ret,Ret,,,,
John Love,Ret,,,,,,,,,,
Derek Bell,,,,,,Ret,,,,,
François Cevert,,,,,,,Ret,,,,
John Cordts,,,,,,,,,Ret,,
Basil van Rooyen,Ret,,,,,,,,,,
Gerhard Mitter,,,,,,,DNS,,,,
Hubert Hahne,,,,,,,DNS,,,,
Dieter Quester,,,,,,,DNS,,,,
Hans Herrmann,,,,,,,DNS,,,,
